,review_rate,review_body
0,10,"Pois bem...as fotos dos pratos, bebidas e doces são maravilhosas...daquelas q vc se empolga e diz: vale a pena conhecer.. porém tudo acaba quando vc entra...infelizmente.Cheguei com meu marido e sentamos.. mesa suja..mas ficamos aguardando o atendimento...5 min., 10 min., (o atendente chegou na mesa ao lado, tirou o pedido e nada de nos atender.Outro atendente serviu a outra mesa ao lado..13 minutos. Apertamos o botão pra acionar o atendente (aquele q fica na mesa) e continuamos aguardando..15 min., 20 min.(e a gente só de olho...)..a mesa ainda suja.Finalmente passados 25 minutos apareceu a atendente Tainá e ao explicarmos o ocorrido, ficava mais olhando a mesa ao lado do que nos ouvindo..teve a coragem ainda de interromper o que estávamos falando pra perguntar pra mesa ao lado se estava tudo ok com eles!tipo: conversa com a minha mão! Nessas eu disse: chega! Ela nem está ouvindo o que estamos falando ( q era: olha vcs devem estar correndo aí.. agora não da tempo de pedirmos nada pois temos um compromisso e precisamos ir...)Resumo: saímos sem comer mas com a certeza de que nesse lugar falta muita coisa...treinamento e respeito! Saímos de lá indignados e fiz um comentário no Instagram marcando o bar..e não é q eles desativaram o meu comentário e nem entraram em contato comigo pra saber o q tinha acontecido?? Ficou pior...bem pior..além de pior ficou feio...uma decepção... (Detalhe q o gerente estava o tempo todo preparando as bebidas e ninguém de olho no salao, tipo abandonado mesmo..por isso nem chamamos pra reclamar, caso contrário poderiam perder mais clientes.. uma pena...)"
1,30,"Espero que utilizem essa avaliação para rever o conceito do negócio, que tem potencial. Ambiente legal, música de qualidade e localização top. Não tinha tequila (reclamação anterior já tinha sido feita de outro avaliador). Querem diversificar demais e acabam não atendendo o básico. Melhor não inventar. Pizza fraca com muito molho de tomate e pepperoni de sabor duvidoso. Demorou uma hora. Revejam posicionamento tipo Drinks, doces e pizza. Nada mais. Pode ser que revisando esses itens, consigam permanecer no mercado. Caso contrário, prevejo que fecha ainda em 2019. Escolha errada. "
2,20,"Fomos comer a sobremesa as 20h40, sentamos, pedimos e........... esperamos por 01h10!!! Dá para acreditar!!! Detalhe, as sobremesas eram compostas de sorvete, brownie e calda. Acredito que a demora absurda foi por conta do bico de confeiteiro que deve ter sido feito pela metalúrgica naquele momento!!! Só pode ser! Não tem outra explicação. Quando questionamos a atendente nos disse que tinha muita demanda e que só uma pessoa fazia as sobremesas e que era para reclamarmos no Google! Bom, prefiro vir aqui e fazer a minha constatação. O doce que eram 2 brownies com recheio de sorvete e um creme (esse creme usa bico de confeiteiro!!!) estava tãoooooo dooooceeee que não conseguimos comer. Fim da linha. Não volto mais, simples assim! Imagine se fossemos jantar?"
3,10,"Pedimos o cardápio e ao chamar o atendente pedimos um prato ele nos passou que não tinha disponível, escolhemos outro e mesma coisa na estava disponível, novamente outra escolha e mais uma vez não estava disponível, então acabamos pedindo uma simples porção de batata fritas e ainda os drinks o próprio atendente recomendou Frozen Marguerita então aceitamos a recomendação e depois ele volta a mesa e diz que não tinha tequila para fazer o drink.Penso que qualquer que seja o ramo de atividade uma empresa precisa ter os produtos para entregar, caso contrário fechem as portas, total falta de organização, não recomendo e não volto mais."
4,50,"Fui com algumas amigas em uma segunda-feira, dia de promoção dos doces... Apesar de estar bem cheio, a garçonete conseguiu arranjar um lugarzinho pra 7 meninas... Pedimos os dois tipos de batata que estavam divinas... e as taças, OMG, MA RA VI LHO SAS... as garçonetes sempre atenciosas, mesmo a casa estando cheia... e você também pode deixar seu recadinho na parede. amei..."
5,50,"Quem gosta de doce, é um prato cheio. Erramos pq pegamos um doce para cada pessoa, quando na verdade um doce daria para duas pessoas.Eles não economizam em nada. Atendimento ótimo, e ambiente muito agradável."
6,30,"Atendimento muito bom, confesso que quase pecam pelo excesso. Todo momento a garçonete nos interrompia para perguntar se estávamos satisfeitos, enfim. Mas entendemos que tratava de cordialidade. O ambiente é bem bacana e o cardápio variado, que vai desde porções, burguers até massas. Ótima comida. Agora, se você é viciado em doces, esse é o lugar. Doces incrivelmente bons! Indico aquele que tem o sabor de maracujá (não lembro o nome), o azedo da fruta equilibra o doce. Pontos de atenção: Som alto. Nesse dia cobraram um valor 10,00 por pessoa de couvert (acho caro) e nesse quesito, quase não conseguíamos conversar devido o som estar alto."
7,10,"As sobremesas são realmente uma delícia, porém o atendimento péssimo. Quando fui no caixa pagar as funcionárias do restaurante estavam fazendo a unha no balcão de atendimento, sim isso mesmo estavam passando esmalte e um cheiro forte de acetona e meu deu repúdio ver aqueles algodões sujos. Não tenho mais coragem de voltar ao restaurante depois de ver tudo isso."
8,50,"O bar oferece diversas opções de comidinhas deliciosas, além de lanches e sobremesas incríveis! Recomendo o nhoque e a brownie! Simplesmente perfeitos! Quanto ao atendimento, sem comentários! São ótimos e muito atenciosos!"
9,50,"Ao chegar, o local já agrada. Tanto o visual, o ambiente, o atendimento e o cardápio!!! Além das famosas taças de sobremesas, o cardápio oferece lanches diferenciados, como hamburguer vegano ou de salmão. Ótima experiência com a familia ou amigos ou casal..."
